index,Growth,Inflation,Interest,Credit,Exchange,Liquidity
2006-12-31,0.10442099768881903,0.02759411097176588,0.030269,0.7166000000000001,83.68,-0.014298593669691044
2007-01-31,0.11178998954258589,0.026821303391743923,0.030671,0.7831000000000001,84.59,-0.013430085680613218
2007-02-28,0.11103507311320872,0.02734587661794869,0.031466,0.8691,83.6,-0.009862984021844419
2007-03-31,0.10317561789745198,0.02891271125083581,0.034338,0.8324000000000003,82.94000000000001,-0.009168609343080334
2007-04-30,0.10471573743170999,0.0306236473469147,0.035916000000000003,0.9647000000000001,81.46,-0.010055298272172344
2007-05-31,0.1081308778340712,0.033884830155873805,0.0406,0.9220000000000002,82.31,-0.010062778093891538
2007-06-30,0.11123407832651855,0.03918159365448928,0.044500000000000005,0.7367999999999992,81.92,-0.006675477820836484
2007-07-31,0.11408713959857182,0.045331458107678316,0.043400999999999995,0.8726999999999991,80.81,-0.0009150483717141
2007-08-31,0.11090936912186578,0.05029451913931597,0.042743,0.9480999999999993,80.82,0.0024723371556051176
2007-09-30,0.10865387856413085,0.05319016863367794,0.043877,0.9011999999999993,77.698,0.003655554034965007
2007-10-31,0.1103220538347054,0.0562538862218202,0.044937,0.8359999999999994,76.54,0.0003311403846041827
2007-11-30,0.11240824028345159,0.06013024549120709,0.045086,0.7207999999999997,76.15,-0.009959919712203771
2007-12-31,0.11339605534568191,0.06440352424956419,0.044253,0.8655999999999997,76.69,-0.026307782556789477
2008-01-31,0.11358081920883914,0.07054440255246813,0.041936999999999995,0.9803999999999995,75.23,-0.034342684738279845
2008-02-29,0.11267181503957847,0.07744038219775766,0.041283,1.0959999999999992,73.75,-0.041187080289012315
2008-03-31,0.11782760357281476,0.08146292317082811,0.04046,1.2719999999999994,71.84,-0.045220738503044554
2008-04-30,0.12230531612669009,0.08236209359856851,0.040725,1.3641999999999994,72.58,-0.04383634838542168
2008-05-31,0.12692624556761167,0.08038496469604837,0.041589,1.2123999999999997,72.87,-0.041305860438144396
2008-06-30,0.1269551638290275,0.07728729116097828,0.045285,1.1914999999999996,72.47,-0.04366487677779162
2008-07-31,0.12679118917481072,0.07298511541020745,0.044401,1.1139000000000001,73.2,-0.04994313908279782
2008-08-31,0.12097794122827349,0.06627784101196392,0.042234,1.2790999999999997,77.32,-0.0568055122538061
2008-09-30,0.10965765156744822,0.05706397056397625,0.037155,0.9438000000000004,79.24,-0.06247372210866144
2008-10-31,0.08784743752567956,0.04329782423348173,0.030751,1.9337,85.59,-0.06336398221140276
2008-11-30,0.05594247700292954,0.02533127747142962,0.029905,2.0926,86.55,-0.05551878401740737
2008-12-31,0.029286315968221722,0.007914927178623464,0.027521,2.4407,81.17,-0.03641663677065015
2009-01-31,0.008754498109526984,-0.006750279312152663,0.030368,2.7483,85.84,-0.015017265697698576
2009-02-28,0.002223873248714492,-0.01933195771508041,0.031508,2.2439999999999998,88.15,0.009336240745530055
2009-03-31,0.005426007665653225,-0.026674075213081416,0.031612,1.7539000000000002,85.6,0.035218059800817055
2009-04-30,0.009626782546661711,-0.030817245950126044,0.031072000000000002,1.2851,84.79,0.05166612796441349
2009-05-31,0.013965152910314815,-0.033391877304984816,0.030409000000000002,1.5928,79.23,0.06260032193175355
2009-06-30,0.019566914831910066,-0.03536649093217631,0.032403,1.5574,80.16,0.07417439043385787
2009-07-31,0.022381418266613044,-0.03555323888909116,0.03503,1.2752999999999997,78.35000000000001,0.0823417602699935
2009-08-31,0.027062533711373352,-0.03252478178679316,0.034805,1.4518,78.16,0.08848146780556966
2009-09-30,0.039429951559262474,-0.02631903261109698,0.035132,2.0244999999999997,76.7,0.0908307891360024
2009-10-31,0.05940290624423028,-0.0162402400324598,0.036886,2.0471,76.39,0.07944553255113775
2009-11-30,0.09247953229593751,-0.001668067129489026,0.035569,2.1355,74.81,0.04165071720481954
2009-12-31,0.12873342440229202,0.013359793010799743,0.036421999999999996,1.8926000000000003,77.92,-0.02547417030024615
2010-01-31,0.15365409244454012,0.02450972121414607,0.0358,1.4747000000000003,79.49,-0.07410036056617265
2010-02-28,0.1624633503902527,0.03249397744349473,0.033753000000000005,1.3891000000000004,80.35000000000001,-0.1021249138948275
2010-03-31,0.1610745395221059,0.03689512316077483,0.034817999999999995,1.2790999999999997,81.07000000000001,-0.12154453002190514
2010-04-30,0.15758105858786076,0.03979545199375439,0.033565,1.3049999999999997,81.91,-0.13503099478827285
2010-05-31,0.15468223255689373,0.04081258821193992,0.03243,1.2258999999999998,86.47,-0.14671156401289281
2010-06-30,0.1451344431372636,0.03968497752358461,0.03279,1.3178999999999994,86.05,-0.15888249872645438
2010-07-31,0.13403484007935673,0.038314183642702296,0.032996,1.1612,81.57,-0.1651284959467543
2010-08-31,0.12666100188191862,0.03834724656223555,0.032301,1.1330999999999998,83.07000000000001,-0.16355175396513466
2010-09-30,0.11995693666299215,0.04069334709278667,0.033183,1.2761999999999998,78.8,-0.15912597512618326
2010-10-31,0.11941359801570649,0.045351163675902216,0.036821,1.3392999999999997,77.05,-0.14927310780935316
2010-11-30,0.12360647859040512,0.04979532432012399,0.03971,1.4720000000000004,81.3,-0.13068912526791454
2010-12-31,0.12263975407661891,0.052051142484475864,0.038799,1.3747000000000003,78.96,-0.10579689294578404
2011-01-31,0.12232770746866395,0.054201380997434025,0.040187,1.3678000000000003,77.75,-0.09933015101896381
2011-02-28,0.1115131028738337,0.05622994041876602,0.039314,1.6677,76.89999999999999,-0.10302574671767228
2011-03-31,0.11286775036808734,0.057971127052763374,0.03912,1.8256999999999999,75.98,-0.1072903762531639
2011-04-30,0.1120011250221339,0.05926247413325525,0.038713000000000004,1.5878,73.03,-0.11250498911902089
2011-05-31,0.10889143149465016,0.06152673669527987,0.038311000000000005,1.5509,74.63000000000001,-0.11576015855566162
2011-06-30,0.10617752574318243,0.06475033518834379,0.038857,1.4595000000000002,74.42,-0.11864146868448358
2011-07-31,0.10726184785902244,0.06633179342314226,0.040477,1.6727999999999996,73.86,-0.12597434507122263
2011-08-31,0.10837061458263822,0.0647426040559078,0.04105,1.9367999999999999,74.13,-0.1349427445971312
2011-09-30,0.10471602695634093,0.05986858147384391,0.038605,2.5955000000000004,78.79,-0.1397562790722393
2011-10-31,0.09973200870159392,0.051628767554959154,0.037607,2.7758000000000003,76.48,-0.13468181570944535
2011-11-30,0.09091271419274721,0.04208977528818699,0.036091000000000005,2.6910000000000003,78.33999999999999,-0.11422994264940863
2011-12-31,0.08008401519041179,0.035168488673814016,0.034211,2.9381,80.22,-0.07922943232334291
2012-01-31,0.07282492530346671,0.030469699337676976,0.034064000000000004,2.5847,79.28,-0.059279114513053344
2012-02-29,0.07850382517100338,0.02605720879305735,0.035339999999999996,2.0035999999999996,78.8,-0.05074838667700231
2012-03-31,0.07195006523567216,0.023322039205452706,0.035004,2.0403000000000002,78.95,-0.048727531760598894
2012-04-30,0.06592231026339546,0.020177907493181504,0.035391,1.6665999999999999,78.76,-0.04955844603224989
2012-05-31,0.06544438578232004,0.015567665470006289,0.033443,1.5388000000000002,83.08,-0.04885549399976284
2012-06-30,0.061210591034292036,0.010072536490609263,0.033253,1.2572999999999999,81.58,-0.04667459413869556
2012-07-31,0.05494727251831339,0.005630865695774969,0.032915,1.3320999999999996,82.68,-0.04421617092484292
2012-08-31,0.05239512654412261,0.0033898457029843156,0.033928,1.5600999999999998,81.25,-0.042006054695304475
2012-09-30,0.055227599204127745,0.0029882480898584985,0.034574,1.4413000000000005,79.88,-0.03935390486233675
2012-10-31,0.05789912918596252,0.0043904155863696516,0.035739,1.3492000000000002,79.95,-0.040563326142891806
2012-11-30,0.060015700597400336,0.007377008865765927,0.035332,1.3501999999999996,80.23,-0.044584018391584636
2012-12-31,0.06641551973882694,0.011084761915435894,0.035738,1.3649,79.76,-0.05080235532013873
2013-01-31,0.09983458833120638,0.010643353178356548,0.036054,1.2629999999999995,79.24,-0.03777759681643428
2013-02-28,0.06525100175762664,0.01639432247939727,0.035956999999999996,1.1348999999999996,81.96,-0.03737729414578702
2013-03-31,0.06767548163808498,0.011511014286233644,0.035392,1.1720000000000002,82.99000000000001,-0.034219187935030086
2013-04-30,0.07614188460880252,0.0092110520685773,0.034314,1.2437,81.72,-0.03030826472896486
2013-05-31,0.053451406037533865,0.006443056262778689,0.034399,1.1365999999999996,83.27,-0.03156431283019863
2013-06-30,0.04023290370506408,0.009166789912965849,0.035125,1.162,83.18,-0.04638781711111051
2013-07-31,0.054056870672760625,0.011560969822393524,0.037214,1.3987999999999996,81.67,-0.04818162681398874
2013-08-31,0.06048890180469204,0.013252751728273074,0.040354,1.2481,82.04,-0.046009320381337614
2013-09-30,0.05535395912415021,0.016893216468122477,0.039954,1.1201999999999996,80.23,-0.048387596999132934
2013-10-31,0.05813378342011125,0.018453348718258183,0.041806,1.0964999999999998,80.23,-0.048461964489179346
2013-11-30,0.06409833188450423,0.017807614458992507,0.043612000000000005,1.6338000000000008,80.62,-0.04902623458328119
2013-12-31,0.060249954916138215,0.014596601981781643,0.045518,1.4223999999999997,80.2,-0.04145305262215096
